Crime_ID,Crime_Type,City,Date_of_Occurrence,Time_of_Occurrence,Severity_Level,Latitude,Longitude,Reporting_Channel,Weather_Condition,Day_of_Week,Number_of_Witnesses,Injuries_Report,Arrests_Made,Suspect_Identified,Response_Time (minutes),Offender_Age_Group,Temperature (°C),Festival/Season,Victim_Occupation
a6c7b480-509e-4325-9aad-6b51cfa92ed9,Burglary,Kolkata,2023-12-31,20:27:11,High,36.506183,87.691877,Anonymous Tip,Cloudy,Friday,10,Yes,Yes,No,18,Juvenile,16.0,Holi,Teacher
1da5fd94-c182-4881-9cff-b32f0f3e29c5,Cybercrime,Lucknow,2024-12-06,20:01:51,Medium,25.078044,82.616198,Helpline,Stormy,Friday,5,No,Yes,Yes,5,26-40,35.0,Christmas,Student
46ff2bd0-9582-4eea-a528-d82187743021,Vandalism,Lucknow,2020-04-28,19:07:04,Low,11.338849,84.648488,Online,Clear,Wednesday,4,Yes,No,No,18,26-40,23.0,Pongal,Business
c21d01c7-3078-41b3-8f55-4917aeb9b497,Assault,Chennai,2020-07-05,02:51:14,Medium,17.734397,84.117286,Helpline,Cloudy,Sunday,0,No,No,No,27,Juvenile,31.0,Eid,Others
3f3a2631-d448-4c2a-a7c1-213d373f7ceb,Cybercrime,Jaipur,2020-07-23,20:54:48,High,36.045546,82.041492,Online,Stormy,Tuesday,10,Yes,No,Yes,18,26-40,16.0,Navratri,Others
4d9ad020-e4ca-4072-8cb1-4a6ddfa51ac3,Theft,Mumbai,2021-10-29,19:41:02,Medium,26.971016,75.274898,Anonymous Tip,Clear,Sunday,6,Yes,No,No,6,41-60,44.0,Holi,Engineer
028e094c-a66a-4716-a9ce-173b1d866ebd,Fraud,Mumbai,2020-07-24,01:30:12,Medium,29.888058,86.847404,Anonymous Tip,Rainy,Sunday,7,No,Yes,No,41,18-25,29.0,Eid,Business
715ce6fd-2b65-49d8-8bad-c2b8f6707a83,Domestic Violence,Mumbai,2023-06-20,13:03:06,Low,23.913948,83.619761,Police Station,Rainy,Sunday,6,Yes,Yes,Yes,12,18-25,28.0,None,Teacher
9edc6f8a-767b-4669-a66f-36d03443aaef,Domestic Violence,Pune,2022-02-01,22:57:02,Low,28.023467,89.982348,Online,Cloudy,Monday,3,No,Yes,No,30,26-40,20.0,Navratri,Teacher
c912a78e-72df-4258-8761-593c515756e8,Domestic Violence,Chennai,2024-12-05,22:44:41,Medium,20.944052,77.915941,Helpline,Stormy,Sunday,0,No,No,Yes,27,18-25,43.0,Holi,Engineer
502e2198-c247-4497-9b31-a9d240d1c47e,Murder,Hyderabad,2024-04-20,04:48:44,Low,33.414571,69.259639,Police Station,Rainy,Wednesday,6,Yes,Yes,No,29,26-40,28.0,Holi,Student
9b44aeed-c143-402c-8ab2-7666fc63009f,Theft,Hyderabad,2020-09-30,08:12:20,Medium,10.376765,93.539751,Online,Rainy,Monday,0,No,Yes,No,29,26-40,23.0,Pongal,Engineer
2e884e6f-0de2-4ed5-abd0-16405cefe3a3,Theft,Ahmedabad,2024-11-27,12:52:58,Medium,31.747227,75.142051,Police Station,Stormy,Friday,10,Yes,Yes,Yes,28,60+,19.0,Holi,Student
e453555a-8fe3-4c55-89e6-dc542ea5f9f9,Fraud,Jaipur,2023-05-03,11:16:01,Medium,25.919883,89.663458,Helpline,Cloudy,Wednesday,5,Yes,No,Yes,26,Juvenile,37.0,Diwali,Doctor
e3e1a2c8-933f-4e65-abf1-1bc9d5cf7802,Kidnapping,Lucknow,2021-12-15,02:04:34,Low,11.845901,76.14634,Helpline,Clear,Thursday,5,Yes,No,Yes,9,18-25,23.0,Pongal,Teacher
f19824da-42fb-4e79-b4a3-a9ee39e1c47e,Burglary,Kolkata,2023-08-26,22:31:40,Low,14.60527,86.409078,Anonymous Tip,Stormy,Thursday,3,No,No,Yes,17,60+,28.0,Christmas,Others
292fed7d-35fb-40ad-b556-8b98eff073fd,Drug Possession,Chennai,2020-05-30,11:29:42,Medium,30.061629,84.977733,Anonymous Tip,Stormy,Friday,1,Yes,No,No,38,26-40,42.0,None,Unemployed
c5d6fefc-25cc-4a3c-82c8-c07c68bb4e8f,Domestic Violence,Pune,2023-02-06,19:16:30,High,8.09052,76.751844,Online,Rainy,Sunday,7,Yes,Yes,No,7,60+,23.0,Christmas,Teacher
8f1bf41b-bf96-4ebc-a577-e2b20d8489ac,Theft,Chennai,2023-04-28,07:54:21,Medium,30.176341,93.681046,Police Station,Cloudy,Sunday,5,Yes,No,Yes,32,26-40,37.0,Eid,Student
51cc66ad-f2a7-43ea-91af-d6e8481d660f,Fraud,Chennai,2025-01-19,21:24:52,Medium,22.71368,92.888769,Helpline,Rainy,Saturday,1,No,Yes,No,12,41-60,19.0,Christmas,Business
a522d181-956e-4aff-87ed-b1f359e4d5ad,Theft,Pune,2023-10-06,21:46:12,High,11.573393,86.682135,Helpline,Rainy,Wednesday,5,Yes,No,No,16,60+,16.0,Christmas,Engineer
1b376640-67f3-42bc-b19f-97cd7e7c77da,Domestic Violence,Delhi,2024-01-25,16:18:53,Low,10.031677,73.631948,Helpline,Rainy,Sunday,3,Yes,No,Yes,17,41-60,37.0,Eid,Others
dfbef519-de9a-4514-a209-1cd84311a651,Kidnapping,Bengaluru,2025-02-15,08:30:03,High,15.05161,88.882609,Police Station,Stormy,Tuesday,5,Yes,No,Yes,39,60+,33.0,Pongal,Unemployed
bf3fdfd7-47a5-4c26-bc90-2ec216e07ca6,Burglaryy,Hyderabad,2022-07-30,05:29:06,Low,36.67885,70.994602,Anonymous Tip,Rainy,Sunday,10,Yes,No,No,39,60+,25.0,Navratri,Doctor
b4dcbc7c-2bc4-415a-8ad1-6f0a3f844c38,Cybercrime,Lucknow,2023-12-12,19:53:54,Low,21.189431,77.281469,Helpline,Cloudy,Tuesday,8,No,No,Yes,18,18-25,32.0,Holi,Business
